"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
40,"City of Trinidad Referendum 2A ( 1)","No/Against","",1074,46.55,5595,2520,2,2,"0","0"
41,"City of Trinidad Referendum 2B ( 1)","Yes/For","",1224,52.06,5595,2520,2,2,"0","0"
42,"City of Trinidad Referendum 2B ( 1)","No/Against","",1127,47.94,5595,2520,2,2,"0","0"
43,"City of Trinidad Referendum 2C ( 1)","Yes/For","",1486,64.36,5595,2520,2,2,"0","0"
44,"City of Trinidad Referendum 2C ( 1)","No/Against","",823,35.64,5595,2520,2,2,"0","0"
45,"City of Trinidad Referendum 2D ( 1)","Yes/For","",1604,70.07,5595,2520,2,2,"0","0"
46,"City of Trinidad Referendum 2D ( 1)","No/Against","",685,29.93,5595,2520,2,2,"0","0"
47,"City of Trinidad Referendum 2E ( 1)","Yes/For","",1523,65.45,5595,2520,2,2,"0","0"
48,"City of Trinidad Referendum 2E ( 1)","No/Against","",804,34.55,5595,2520,2,2,"0","0"
49,"Aguilar Reorganized School District 6 Ballot Question 3A ( 1)","Yes/For","",280,78.43,850,364,1,1,"0","0"
50,"Aguilar Reorganized School District 6 Ballot Question 3A ( 1)","No/Against","",77,21.57,850,364,1,1,"0","0"
