"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
19,"City and County of Broomfield Councilmember Ward 5 ( 1)","Guyleen Castriotta","",1540,46.67,8947,3643,4,4,"0","0"
20,"City and County of Broomfield Councilmember Ward 5 ( 1)","Write-in","",0,0.00,8947,3643,4,4,"0","0"
21,"Adams 12 Five Star Schools Director District No. 3 ( 1)","Joshua Bastian","",2319,25.71,23876,11343,4,4,"0","0"
22,"Adams 12 Five Star Schools Director District No. 3 ( 1)","Kathy Plomer","",6702,74.29,23876,11343,4,4,"0","0"
23,"Adams 12 Five Star Schools Director District No. 4 ( 1)","Brian Batz","",7331,100.00,23876,11343,4,4,"0","0"
24,"Boulder Valley School District RE-2 Director District B ( 1)","Christina Marquis","",5151,100.00,21016,8329,4,4,"0","0"
25,"Boulder Valley School District RE-2 Director District E ( 1)","Donna Miers","",3113,50.45,21016,8329,4,4,"0","0"
26,"Boulder Valley School District RE-2 Director District E ( 1)","Raj Rawat","",1249,20.24,21016,8329,4,4,"0","0"
27,"Boulder Valley School District RE-2 Director District E ( 1)","Dean Vlachos","",1808,29.30,21016,8329,4,4,"0","0"
28,"Boulder Valley School District RE-2 Director District F ( 1)","Kitty Sargent","",3223,59.15,21016,8329,4,4,"0","0"
29,"Boulder Valley School District RE-2 Director District F ( 1)","Alexandra Eddy","",2226,40.85,21016,8329,4,4,"0","0"
30,"Brighton School District 27J Director District No. 2 ( 1)","Gary Mikes","",0,0.00,0,0,1,1,"0","0"
31,"Brighton School District 27J Director District No. 2 ( 1)","Kevin Robert Kerber","",0,0.00,0,0,1,1,"0","0"
32,"Brighton School District 27J Director District No. 4 ( 1)","Blaine Nickeson","",0,0.00,0,0,1,1,"0","0"
33,"Brighton School District 27J Director District No. 4 ( 1)","Greg Lee","",0,0.00,0,0,1,1,"0","0"
34,"Brighton School District 27J Director District No. 5 ( 1)","Kerrie A. Gutierrez","",0,0.00,0,0,1,1,"0","0"
35,"Brighton School District 27J Director District No. 5 ( 1)","Mandy Thomas","",0,0.00,0,0,1,1,"0","0"
36,"Brighton School District 27J Director District No. 6 ( 1)","Jennifer Venerable","",0,0.00,0,0,1,1,"0","0"
37,"Brighton School District 27J Director District No. 6 ( 1)","Stanley Lewis Hiller","",0,0.00,0,0,1,1,"0","0"
38,"Jefferson County School District R-1 Director District 1 ( 1)","Brad Rupert","",509,64.43,4003,1012,2,2,"0","0"
39,"Jefferson County School District R-1 Director District 1 ( 1)","Matt Van Gieson","",281,35.57,4003,1012,2,2,"0","0"
40,"Jefferson County School District R-1 Director District 2 ( 1)","Susan Harmon","",480,60.61,4003,1012,2,2,"0","0"
41,"Jefferson County School District R-1 Director District 2 ( 1)","Erica Shields","",312,39.39,4003,1012,2,2,"0","0"
42,"Jefferson County School District R-1 Director District 5 ( 1)","Ron Mitchell","",671,100.00,4003,1012,2,2,"0","0"
43,"Weld RE-8 School District Director District C ( 1)","Matthew Ryan Adame","",2,100.00,19,5,1,1,"0","0"
44,"Weld RE-8 School District Director District C ( 1)","Janice A Wilkin","",0,0.00,19,5,1,1,"0","0"
45,"Weld RE-8 School District Director District D ( 1)","Gabriel Saucedo","",2,100.00,19,5,1,1,"0","0"
46,"Weld RE-8 School District Director District D ( 1)","Heather Taylor","",0,0.00,19,5,1,1,"0","0"
47,"Weld RE-8 School District Director District F ( 1)","Michelle Diane Bettger","",1,100.00,19,5,1,1,"0","0"
48,"Weld RE-8 School District Director District G ( 1)","Kehle R. Griego","",2,100.00,19,5,1,1,"0","0"
49,"Weld RE-8 School District Director District G ( 1)","Nalleli Valverde","",0,0.00,19,5,1,1,"0","0"
50,"City and County of Broomfield Question 301 ( 1)","Yes/For","",11737,57.48,49297,20816,13,13,"0","0"
51,"City and County of Broomfield Question 301 ( 1)","No/Against","",8684,42.52,49297,20816,13,13,"0","0"
52,"Brighton School District 27J Ballot Issue 3D ( 1)","Yes/For","",0,0.00,0,0,1,1,"0","0"
53,"Brighton School District 27J Ballot Issue 3D ( 1)","No/Against","",0,0.00,0,0,1,1,"0","0"
